Market,Period,Product,$2,B$2,AP.$2,U2,BU2,AP.U2,E21,BE2,AP.E21,%A1,%$.AP,PRC.E,PRC.BE,ACHY.$,ACHY.U,ACHY.E,%$.AP.YA,ACYAG.PRCE,ACYAG.PRCBE,ACHY.B$,ACHY.AP$,ACHY.BU,ACHY.APU,ACHY.BE,ACHY.E,ACHY.APE,%A1.AY
US.CX,NOV0417.1,NS.081495,6176349,5536021,2342611,1037108,911401,405916,55556403,47210940,22376215,82,37.93,0.11,0.12,-625154,-228848,-6165370,-31.93,0,0,170282,-2409009,27593,-412508,3244890,-6165370,-23339783,1
US.CX,NOV1117.1,NS.081495,7180213,5744684,3479812,1355219,958355,741848,63892561,48368589,31520580,85,48.46,0.11,0.12,562467,95071,4959727,-9.33,0,0,421687,-345128,87303,20154,4819871,4959727,-5047419,3
US.CX,OCT2117.1,NS.163594,2315266,2031242,682128,352172,278379,125091,14042893,11993281,4248696,81,29.46,0.16,0.17,-169523,-9809,-277364,4.55,-0.01,-0.01,-64155,63177,-12513,29307,169605,-277364,416590,-1
US.CX,OCT2817.1,NS.163594,2401066,2082785,1051835,356594,284814,157835,15101035,12315205,7416385,81,43.81,0.16,0.17,1387,31334,627480,8.94,-0.01,-0.01,-57194,215055,-13658,78233,282352,627480,1231209,2
US.CX,NOV0417.1,NS.163594,2837438,2018081,1287468,465418,278694,232089,18674228,11897411,9888505,87,45.37,0.15,0.17,-22034,31437,709906,7.4,-0.01,-0.01,-83462,201479,-12942,73174,38495,709906,1445869,5
US.CX,NOV1117.1,NS.163594,2382512,2103383,861146,332054,288997,105665,15452698,12387917,6794493,79,36.14,0.15,0.17,-149430,-31595,-293950,0.72,-0.01,-0.01,5986,-35673,-3545,-5699,556548,-293950,-233365,-1
US.CX,OCT2117.1,NS.157335,5269361,4273961,2108470,643996,447197,384028,19335423,15294234,7656885,86,40.01,0.27,0.28,634622,114772,2621866,10.64,0,0,64546,746995,12383,137397,483676,2621866,2734829,1
US.CX,OCT2817.1,NS.157335,4822498,4274561,2003701,567759,447527,338729,17683525,15261906,7314190,85,41.55,0.27,0.28,101989,22612,630878,0.56,0,0,8845,68960,8557,37743,279919,630878,-25049,1
US.CX,NOV0417.1,NS.157335,5441150,4324182,2566291,667177,451858,435644,19989223,15502162,9303740,86,47.16,0.27,0.28,-499688,-44878,-1346895,1.47,-0.01,-0.01,117265,-148256,19366,3629,787349,-1346895,-727643,-2
US.CX,NOV1117.1,NS.157335,5088741,4323495,1948316,609577,451037,340195,18692225,15530362,7142073,87,38.29,0.27,0.28,-411447,-77701,-1074731,-9.72,-0.01,-0.01,89331,-692243,16983,-97125,704369,-1074731,-2622231,0
US.CX,OCT2117.1,NS.166464,12904670,11970124,3656610,1206008,1036296,517730,44383140,40671275,12353296,95,28.34,0.29,0.29,589942,36969,726142,1.25,0.01,0,1144604,321687,60710,50150,3436872,726142,299503,0
US.CX,OCT2817.1,NS.166464,13100777,12161784,4571887,1239398,1047914,588812,45172139,41446752,15865873,95,34.9,0.29,0.29,716214,74661,1093564,-3.5,0.01,0,1228693,-183738,67550,40441,3875487,1093564,-2397192,1
US.CX,NOV0417.1,NS.166464,14575859,12113996,5389280,1421040,1047572,729229,50234241,41194603,18476809,95,36.97,0.29,0.29,-1741826,-182502,-8614323,-13.01,0.01,0,1189312,-2767152,75774,-244514,3818144,-8614323,-12605004,0
US.CX,NOV1117.1,NS.166464,14216343,12169924,5073725,1360109,1053633,655064,49293848,41392301,17834742,96,35.69,0.29,0.29,229647,-20230,-114591,-1.78,0.01,0,1229665,-167103,82694,-25382,3988002,-114591,-1752675,0
US.CX,OCT2117.1,NS.085397,349466,247044,226197,40875,27227,24729,1222655,760258,865867,48,64.73,0.29,0.32,52217,6928,252263,52.36,-0.02,0.02,-22395,189448,-1693,18129,-110303,252263,738170,7
US.CX,OCT2817.1,NS.085397,506988,240486,368622,74833,26491,56734,1676432,745179,1248301,51,72.71,0.3,0.32,155659,32583,511560,55.21,0,0.01,-39005,307152,-3133,46810,-153515,511560,1034222,6
US.CX,NOV0417.1,NS.085397,346311,238288,142760,40540,26981,16161,1144471,749072,507466,48,41.22,0.3,0.32,40133,8527,165597,33.03,-0.01,0.01,-32432,117688,-1769,12778,-122122,165597,427006,8
US.CX,NOV1117.1,NS.085397,337148,235552,122261,39251,26818,13040,1109874,742110,428969,46,36.26,0.3,0.32,44537,8088,176850,30.88,-0.01,0.01,-38406,106517,-1475,10845,-137978,176850,379428,7
WMTTL.CTA,OCT2117.1,NS.083336,3786218,3761001,310489,510603,506187,39970,44823770,44484478,3706094,100,8.2,0.08,0.08,448118,56527,5308627,-3.85,0,0,420364,-91738,52107,-10685,5126945,5308627,-1380727,0
WMTTL.CTA,OCT2817.1,NS.083336,3663584,3778987,415856,496342,507088,57140,43589144,44760658,5192033,100,11.35,0.08,0.08,379685,50175,4746919,1.97,0,0,449952,107743,57308,19225,5463668,4746919,1208303,0
WMTTL.CTA,NOV0417.1,NS.083336,3867074,3780150,401903,522720,509165,56956,46206303,44708631,5162173,100,10.39,0.08,0.08,318184,41912,4237348,5.16,0,0,454789,216016,59348,34555,5513114,4237348,2711473,0
WMTTL.CTA,NOV1117.1,NS.083336,3821431,3778623,375789,517791,508847,54251,45614203,44694905,4878013,100,9.83,0.08,0.08,437537,58892,5676340,5.89,0,0,419414,242222,54163,38021,5099131,5676340,3189272,0
WMTTL.CTA,OCT2117.1,NS.164106,235244,236760,2580,32776,33009,378,1410318,1417669,16734,98,1.1,0.17,0.17,8068,-1314,-190427,-3.75,0.02,0.02,14704,-8427,511,-2075,-137630,-190427,-68407,0
WMTTL.CTA,OCT2817.1,NS.164106,228924,234855,3244,31884,32691,514,1370404,1410560,20812,98,1.42,0.17,0.17,8784,-1114,-177308,-3.78,0.02,0.02,5676,-8198,-1108,-1912,-188473,-177308,-65926,0
WMTTL.CTA,NOV0417.1,NS.164106,249860,235633,3424,34708,32720,562,1495364,1406541,22177,98,1.37,0.17,0.17,4694,-1977,-230130,-3.26,0.03,0.02,4603,-7923,-1297,-1743,-209824,-230130,-63405,0
WMTTL.CTA,NOV1117.1,NS.164106,246935,234443,2107,34447,32928,368,1477034,1390748,14664,98,0.85,0.17,0.17,15778,-214,-150876,-2.5,0.03,0.03,4030,-5633,-889,-1432,-217370,-150876,-47152,0
WMTTL.CTA,OCT2117.1,NS.080678,42116536,42573483,8005173,5016386,4940278,1064768,334565169,331126637,62264456,100,19.01,0.13,0.13,988065,84096,8662395,5.24,0,0,1474187,2343598,95608,201540,9402978,8662395,4645971,0
WMTTL.CTA,OCT2817.1,NS.080678,41621681,42661955,9167318,4973227,4942375,1268476,333730960,332234794,81912859,100,22.03,0.12,0.13,851410,155315,14560073,9.12,0,0,1351276,3904638,91324,476422,9920237,14560073,28248162,0
WMTTL.CTA,NOV0417.1,NS.080678,44267426,42844837,9463172,5289583,4987704,1341382,358140802,337509326,87084743,100,21.38,0.12,0.13,-693032,-31215,4147027,8.23,0,0,1245122,3550707,159081,442916,17361672,4147027,26371514,0
WMTTL.CTA,NOV1117.1,NS.080678,44067493,43179788,8435956,5262982,5037029,1246935,353743693,343710501,80095480,100,19.14,0.12,0.13,900586,162445,17366110,6.65,0,0,1374136,3041998,197070,410647,22181872,17366110,25663500,0
WMTTL.CTA,OCT2117.1,NS.080748,30258480,30699055,6728030,3660270,3624141,809461,271705383,268647879,57511613,100,22.24,0.11,0.11,1127160,95551,10559564,6.51,0,0,1742523,2147563,129543,175888,11903253,10559564,4230817,0
WMTTL.CTA,OCT2817.1,NS.080748,29965168,30638681,7907375,3644887,3613452,1013873,271741091,268901403,76935742,100,26.39,0.11,0.11,1098108,173637,16507011,11.94,0,0,1572542,3735635,118797,454301,12163078,16507011,27664515,0
WMTTL.CTA,NOV0417.1,NS.080748,31716812,30934639,8134848,3871558,3664093,1071218,291445017,274623201,81847291,100,25.65,0.11,0.11,194915,68511,9241016,11.31,0,0,1630878,3614942,187862,458044,19729261,9241016,26574307,0
WMTTL.CTA,NOV1117.1,NS.080748,31543359,31292728,7088509,3845315,3713193,974563,287282986,280826362,74682383,100,22.47,0.11,0.11,1222940,201676,19224647,9.15,0,0,1788473,3048758,222860,420768,24624814,19224647,25570985,0
WMTTL.CTA,OCT2117.1,NS.163589,7137514,7150785,1199524,776562,742927,243331,28333933,27981988,4157490,100,16.81,0.25,0.26,240056,26405,581288,2.35,0,0,171181,202530,9928,28365,353368,581288,563855,0
WMTTL.CTA,OCT2817.1,NS.163589,6998516,7219406,1139772,757406,748840,233057,27797890,28294238,3938788,100,16.29,0.25,0.26,119028,15621,373650,1.64,0,0,173373,132549,11456,14412,393810,373650,309106,0
WMTTL.CTA,NOV0417.1,NS.163589,7608130,7121789,1208979,818516,742345,248216,30244289,27896806,4180608,100,15.89,0.25,0.26,-299830,-38429,-1189144,-0.67,0,0,-32135,-100727,3474,-23819,-153183,-1189144,-519544,0
WMTTL.CTA,NOV1117.1,NS.163589,7596550,7109249,1213601,819820,743829,249874,30136497,27910183,4170459,100,15.98,0.25,0.25,-3417,-9476,29334,-0.78,0,0,-29885,-59448,5542,-19586,30358,29334,-413699,0
WMTTL.CTA,OCT2117.1,NS.083409,4601840,4596092,2415309,461255,426740,270814,29164173,27737732,15797976,100,52.49,0.16,0.17,207268,56653,3061128,44.65,-0.01,0,176688,2070785,19959,235132,1580739,3061128,13651557,0
